external_id,venue_spaces_array
93ad76ae-efea-4abb-9c6d-3b29fb49b7f9,14 (Private Dining Room)
93bdeaa3-019b-4d36-8888-45dd50a9d096,36 ((Private Dining Room)
952d754d-f4cc-4a38-aa2c-a1009a65518f,"70 (roof), 40 (downstairs)"
965b6b3d-7bc6-4215-a348-4eabd0d381d2,"14 (Nook), 30 (Front Room)"
9aa58506-b790-40ba-9d53-d12b791aa1f5,"20 (Private Dining Room, Patio Corridor), 30 (wine room), 45 (patio)"
9cc8f94c-9a28-4312-b42f-4d431bccaad2,100 (Buyout)
9fc640bf-3712-4fbe-a835-b9d38b5614da,"25 (Garden Room), 60 (Buyout)"
a2de801e-e270-4083-a6db-670c49d51ce2,18 (Equestrian Room)
a6222484-2081-4ae3-a38d-8fb6b831e98a,"10 (Jinyu, Jiuwan), 18 (Mao'er, Liulichang)"
a9a6a657-2186-49d7-acf6-25d3754da881,10 (Private Dining Room)
aa008a4b-6516-490a-ba13-5c8e91167070,25 (Patio)
b5478eb3-8d20-456d-970a-5b4afac68afd,35 (Wine Room)
bb4903c0-406f-40a7-8918-120b2a9c6301,40 (Private Dining Room)
bc380307-28df-4d8b-b243-f9f6754a6d1e,28 (The Moon Room)
be24f8f1-d1a4-4bda-8247-b2fcc620c492,70 (Private Dining Room)
c439d939-48ca-4ed2-9b26-fa6ccb55a605,20 (Private Dining Room)
c7ee5c96-057a-4f52-a40c-90b1b59d52d7,14 (Private Dining Room)
cab69a97-143c-4f06-8b0e-c7842ad104ee,"32 (Private Dining Room, Carriage House, Back Garden)"
ce992dae-45aa-4b1c-97d7-9ab8ffa9ebcc,12 (Private Dining Room)
d259fb29-ebd9-400a-b65d-6e88b1be9167,25 (Private Dining Room)
d54992f2-b358-4079-b1f8-5c6deb6ebbe1,50 (Private Dining Rooms)
d6238539-a39a-4d08-80a6-238fb493b1c6,24 (Private Dining Room)
d67ebc3c-ddd2-4104-afad-f1d7b6bd37e5,20 (Private Dining Room)
dcbb5872-7fbd-4a19-8b53-4a47b892e7d5,"13 (Cellar), 32 (Buyout)"
dccd953e-00c0-48bb-9c5f-8f0cb8842a1d,"34 (Private Wing), 30 (Test Kitchen), 14 (Drawing Room)"
drafts.047a9ecb-27e7-4290-8652-c789098ed680,8 (Apartment)
drafts.2392cefd-8f5a-41a0-b7d6-ab6b8dc82e2e,"8 (Alcove), 18 (Left Bank), 36 (Right Bank), 68 (Dining Room), 154 (Buyout)"
drafts.3efe1311-49c0-4720-9bac-741ae6179cbd,36 (Private Dining Room)
drafts.748524d7-f95c-46d9-9aad-212663ecd5f2,"16 (Cedar), 25 (Pearl)"
drafts.c7ee5c96-057a-4f52-a40c-90b1b59d52d7,14 (Private Dining Room)
drafts.d54992f2-b358-4079-b1f8-5c6deb6ebbe1,"50 (Private Dining Rooms), 110 (Buyout)"
drafts.d67ebc3c-ddd2-4104-afad-f1d7b6bd37e5,20 (Private Dining Room)
drafts.eb20239f-6274-4e7d-adb3-dc872e4c33d6,90 (Buyout)
e4623cba-422f-432b-9213-a8eec969fc45,50 (buyout)
e58f2bb0-7b27-42c1-908e-0ae1e9ee5716,22 (Private Dining Room)
e7445355-e74c-4634-a5ab-caf66b086457,40 (Buyout)
ea7e75ec-6417-42a9-98a7-438425d112bb,34 (Rear Dining Room)
f1ff5289-f9be-42bc-bbeb-bbc8a1bec64e,"24 (family room), 36 (vintage room), 80 (Oak Room)"
f2192b5d-6f7d-48ab-b027-d386a50ce744,"15 (Salon), 22 (Gallery)"
f466dffd-a952-48aa-aee9-981b9742fa48,"8 (Palio Wine Room), 25 (The Grand Private Rooms), 50 (Combined)"
f6072bff-441d-45e8-bcd3-954aeaaa9f94,"64 (Private Dining Room), 100 (Buyout)"
f6be1903-3cca-4e67-a7cf-34ec707fcc71,"10 (Private Dining Room), 34 (Mezzanine)"
fab27aab-0daa-43f1-a70b-7bb9ed32ced7,"50 (buyout, Seated)"
fde4d53e-af20-48be-b585-2b95d4d4b0a3,"16 (garden), 32 (covered patio), 48 (combined)"
ff6012f8-41d0-4302-8fd1-f0272600a4aa,70 (Buyout)
ff82d736-764d-41cb-a7bf-a06c28eb1304,"100 (buyout), 50 (semi-private)"
