id,status_legacy,project_date,started_on,won_on,last_contact_on,proposal_sent_on,concept,services_array,budget_notes,location_text,next_steps,budget_low,budget_high,status
1dca8809-1c77-4d54-9d32-62129a58fc0b,Complete,8/24/24,,,,,Resy 10th Anniversary Series,"[""Programming""]",,,,,,Closed Won
1ddcd5f6-927e-4e98-9b10-0f11342db727,Warm Lead,,4/1/2024,,4/1/2024,,TK,"[""Programming""]",,TK,"They sponsored an event, and Zach connected Gaby to chat new biz. Gaby working on scheduling - 4.8",,,Initial Contact
1e75102e-e521-40ed-a1ba-78fc701f5fba,Warm Lead,,,,4/3/2025,,Johnnie Walker Seasonal Flavors Launch,"[""Executive Production""]",,New York,"Intake Notes here. Rachael is working with Bureau Betak and they need our help with culinary. GD took a call, but it sounds like their budget is slim. I proposed that we'd be open to negotiating our fee, but still waiting to hear back. GD, 4/3",,,Initial Contact
1f55e0e1-e8ec-41e4-8441-826793610cc5,No-Go,10/08/2025,9/17/2025,,9/17/2025,,J.Crew Wallace & Barnes Launch Event; In-store VIP dinner,"[""Executive Production""]",$90K all-in,NY,"Given short timeline, project was not feasbile. SY 09/26",90000,90000,Closed Lost
1fab9355-45a2-4739-b004-a767fe552da4,Warm Lead,TBC,5/14/2025,,,,TBC,"[""Executive Production""]",,TBC,"Sylvie Florman connected me. Scheduling intro call. GD, 5/15",,,Initial Contact
216bb723-31ff-4de7-8aea-860b0a1e041b,No-Go,Summer 2025,1/12/2025,,,,Smashing Machine Premier,"[""Executive Production""]",,LA,"Notes here. Sara'o gave Sue and I the heads up that this might happen pending budget when we checked in at the top of 2025. Gaby to follow up in the Spring. GD, 4/3",,,Initial Contact
2285a963-5742-44c7-abcc-918eda923f88,Warm Lead,TBC,5/17/2024,,,,TBC,"[""Executive Production""]",,TBC,"Had drinks with Vanessa. We chatted about some events in CPH & Berlin, as well as a big partnership event in Q4. GD sent follow up, 6/12",,,Initial Contact
2352d79f-14d1-43fc-91ff-6ee265b9e95a,Warm Lead,,,,5/17/2025,,Lake Como EDITION x Mauro Launch,"[""Executive Production""]",,"Lake Como, Italy",,,,Initial Contact
24295a0a-fcdc-4ec5-9c22-a824a642a524,Prospecting,2026,12/9/2025,,12/12/2025,,2026 outreach; client is Staub,"[""Executive Production""]",Not disclosed,USA,Strong culinary/lifestyle brand fit. Great candidate for partnerships and event invitations. Sue and Gaby setting up coffee. SY 12/12,,,Initial Contact
2443460d-145a-4a11-be46-ef3d587c4383,Warm Lead,,6/4/2025,,6/4/2025,,Stuzzi Launch,"[""Consulting""]",,New York,"Convo started on 3/24/2025. GD had call with founder. They sent samples. GD drafted proposal on 04/23. Stuzzi responded saying despite being really excited to work with CoC, the SOW and the fees associated with it would best be fit for them in 2026. Will reach out by end of 2025. SY, 06/05/25",,,Initial Contact
24a8a329-ef70-4e05-ac76-f7b890c5413d,Complete,9/13/24-9/14/24,,,,,Catalog Launch - Consumer Activations,"[""Marketing""]",,New York,Intake Notes here ,,,Closed Won
260ae49c-e2f3-4008-9df9-c5f8ecc48ba1,Complete,March/April 2025,11/8/2024,11/8/2024,,11/25/2024,Resy/Amex Member Week Event Brief,"[""Executive Production""]",,TBC,"Nicole sent through the opp, Joanne is scheduling intake and GD to join. 11/1",,,Closed Won
272b360a-7cf7-4a30-beaa-176c1ea18858,Complete,5/9/24,,,,,"Summersounds Dinner
","[""Executive Production""]",,Los Angeles,2.4.24 - Madewell Summersounds Dinner Intake Notes,,,Closed Won
2825d4d4-e26c-4bc7-84bc-760b6d0ac4f4,No-Go,10/1/2025,5/2/2025,,,,Eric Wareheim,"[""Executive Production""]",,LA,"- Instead of just supporting the book in a few steakhouses around the US, Resy wants to go bigger and bolder!
- Prelim talks about bringing a steakhouse (Peter Luger's?) to a winery in Napa (in support of the Tock integration)
- Natasha is meeting with the new B2B VP on 07.21 and will be floating this idea to him",,,Closed Lost
285ed465-a772-49bf-bfdb-bebe0931cb27,Complete,7/23/2025,4/15/2025,4/15/2025,7/28/2025,7/21/2025,J.Crew x Rouge Partnership,"[""Executive Production""]",,New York,Included in list of event Cam sent to have on our radar. 4/17,,,Closed Won
29460a56-fb51-4c7a-9a21-21c9577e6bec,Waiting for Feedback,05/16/2026 and 06/xx/2026,9/11/2025,12/16/2025,3/15/2026,12/3/2025,"Anicka Li's Opening Day (May 2026)
Anicka Li's Artist Talk (June 2026)","[""Executive Production""]",$60k all in for production of 2 events; $3.5k fee creative direction SOW,NY,Greenlit by client! Pending contracting + intro call with Anicka in Feb to better understand  her creative vision. SY 1/16,60000,60000,Closed Won
29d8515e-717f-4b52-8ff8-bd7648f064ef,In Progress,"06/02, 06/09 and 06/10/26",11/14/2025,,2/12/2026,,"Amex/Resy x Chef's Table are planning a coast-to-coast culinary series featuring 3 unforgettable dinners. Each dinner will be hosted in a Resy priority city that is a primary origin city for Las Vegas tourism - New York City, Los Angeles, and San Francisco - by a Resy chef that will be featured at the upcoming Chef’s Table Studio at Wynn Las Vegas. ","[""Programming""]",$100k all in,"NY, LA & SF","In progress - JA 3/13

June 2: Nick Curtola / i Cavallini (NY) 
June 9: Hannah Siskin + Aaron L / Quarter Sheets (LA) 
June 10: Brandon Jew / Mister Jiu's (SF)",100000,100000,Closed Won
29dba45b-82a6-4c25-b5c2-fc25005e4081,Warm Lead,2025-2026,7/20/2025,,8/21/2025,,Re-shared their venues' events deck with CoC,"[""Executive Production""]",Not disclosed,New York,No next steps.,,,Declined by Us
29fda9a8-8791-4aba-a051-c7e9490428b3,Complete,12/5/24 - 12/724,,,,,Cookie Week Events,"[""Executive Production""]",,"Three Stops: New York, LA, and Austin",Intake here,,,Closed Won
2a1cfd99-45ec-4ed7-b193-f0842460b6cd,Complete,9/12/2025,7/3/2025,7/25/2025,7/25/2025,7/22/2025,In-Store Gummies,"[""Concepting"", ""Executive Production""]",,USA,,,,Closed Won
2aaf7308-83c8-415c-b89d-cbcab6428d40,Canceled,5/12/2025,2/3/2024,2/21/2025,,3/12/2025,Korean BBQ event,"[""Event Concepting"", ""Executive Production""]",,New York,"Intake notes here. Waiting on final budget confirmation + rush fees before proceeding. GD, 1/27",,,Closed Lost
2c2db96c-a269-4400-aa1d-f80d9652b890,Warm Lead,,,,4/9/2025,,TBC,"[""Executive Production""]",,New York,"GD had call. There's multiple ways we could partner. She's an in to specific venues, but she also mentioned that they have a catering arm that could use our creative help. She said she'd reach out when an opp like that arises. GD, 4.9",,,Initial Contact
2d55501d-98ba-48cc-9f73-68afb07bf73a,No-Go,November & December 2025,10/6/2025,,10/28/2025,,Event series in US + possibly London; Focused on sharing winemaker Antica Terra's story + having artists talk about their process attracting wine collectors and art collectors. Perfect for RTH,services_array,Not disclosed,"Chicago, New York, Los Angeles, San Francisco Bay Area, and possibly London.",NB passed on opp due to limited bandwidth and lack of budget. Perfect for RTH though! SY 11/05,,,Declined by Us
2ed60e3d-2cd6-47b4-96e4-36e8fceca3e3,Prospecting,2026,11/7/2025,,12/3/2025,,Client reached out for 2025 event we had to pass on due to bandwidth. Working to chat 2026 planning instead,"[""Liquor Cabinet Program""]",Not disclosed,NY,SC and SY having 2026 planning call on 01/13 SY 12/04,,,Initial Contact
2f274c14-5b5e-47f9-91f0-50caae6dcf57,Warm Lead,,6/1/2024,,6/1/2024,,Olympic Games,"[""Executive Production""]",,"Summer, Paris",Sue owning conversation and will update Gaby via Slack,,,Initial Contact
2f6685d7-8cbd-4218-83e2-6a2dccf032c6,Warm Lead,,,,4/23/2025,,TBC,"[""Consulting""]",,TBC,"GD took intake call. It was for RSVP management. We didn't feel it was the right fit. That said, they have other events coming up, so we should consider this a warm lead. GD to check in with them in May. GD, 3/31",,,Initial Contact
